"ano","mes","dia","local","serie","artista","repertorio"
"2013","dezembro","19","Palácio das Artes","Allegro","Fabio Mechetti, regente","MAHLER | Sinfonia nº 3 em ré menor"
"2013","dezembro","19","Palácio das Artes","Allegro"," Denise de Freitas, contralto","MAHLER | Sinfonia nº 3 em ré menor"
"2013","dezembro","19","Palácio das Artes","Allegro"," Coral Lírico de Minas Gerais, coro feminino","MAHLER | Sinfonia nº 3 em ré menor"
"2013","dezembro","19","Palácio das Artes","Allegro"," Coral Infantojuvenil Palácio das Artes","MAHLER | Sinfonia nº 3 em ré menor"
"2013","dezembro","3","Palácio das Artes","Vivace","Fabio Mechetti, regente","LEVY | Suíte Brasileira"
"2013","dezembro","3","Palácio das Artes","Vivace","Fabio Mechetti, regente","DVORÁK | Concerto para piano em sol menor, op. 33"
"2013","dezembro","3","Palácio das Artes","Vivace","Fabio Mechetti, regente","STRAVINSKY | A sagração da primavera (primeira audição em BH)"
"2013","dezembro","3","Palácio das Artes","Vivace"," Benedetto Lupo, piano","LEVY | Suíte Brasileira"
"2013","dezembro","3","Palácio das Artes","Vivace"," Benedetto Lupo, piano","DVORÁK | Concerto para piano em sol menor, op. 33"
"2013","dezembro","3","Palácio das Artes","Vivace"," Benedetto Lupo, piano","STRAVINSKY | A sagração da primavera (primeira audição em BH)"
"2013","novembro","21","Palácio das Artes","Allegro","John Neschling, regente convidado","SIBELIUS | Concerto para violino em ré menor, op. 47"
"2013","novembro","21","Palácio das Artes","Allegro","John Neschling, regente convidado","TCHAIKOVSKY | Sinfonia Manfredo, op. 58"
"2013","novembro","21","Palácio das Artes","Allegro"," Nicolas Koeckert, violino","SIBELIUS | Concerto para violino em ré menor, op. 47"
"2013","novembro","21","Palácio das Artes","Allegro"," Nicolas Koeckert, violino","TCHAIKOVSKY | Sinfonia Manfredo, op. 58"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente","MOZART | A clemência de Tito: Abertura"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente","HAYDN | Concerto para trompete em Mi bemol maior"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente","GRIEG | Peer Gynt, op. 55: Suíte nº 2"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente","BORODIN | Príncipe Igor: Danças Polovtsianas"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude"," Marlon Humphreys, trompete","MOZART | A clemência de Tito: Abertura"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude"," Marlon Humphreys, trompete","HAYDN | Concerto para trompete em Mi bemol maior"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude"," Marlon Humphreys, trompete","GRIEG | Peer Gynt, op. 55: Suíte nº 2"
"2013","novembro","17","Sesc Palladium","Concertos para a Juventude"," Marlon Humphreys, trompete","BORODIN | Príncipe Igor: Danças Polovtsianas"
"2013","novembro","12","Palácio das Artes","Vivace","Fabio Mechetti, regente","SANTOS | Horizonte (estreia mundial)"
"2013","novembro","12","Palácio das Artes","Vivace","Fabio Mechetti, regente","ELGAR | Variações Enigma, op. 36"
"2013","novembro","12","Palácio das Artes","Vivace","Fabio Mechetti, regente","BRAHMS | Concerto para violino em Ré maior, op. 77"
"2013","novembro","12","Palácio das Artes","Vivace"," Kyoko Takezawa, violino","SANTOS | Horizonte (estreia mundial)"
"2013","novembro","12","Palácio das Artes","Vivace"," Kyoko Takezawa, violino","ELGAR | Variações Enigma, op. 36"
"2013","novembro","12","Palácio das Artes","Vivace"," Kyoko Takezawa, violino","BRAHMS | Concerto para violino em Ré maior, op. 77"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos","Marcos Arakaki, regente","MIRANDA | O universo da orquestra"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos","Marcos Arakaki, regente","GOMES | Sonata para cordas em Ré, “O burrico de pau”"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos","Marcos Arakaki, regente","DVORÁK | Serenata para instrumentos de sopro, op. 44: Moderato quase marcia"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos","Marcos Arakaki, regente","DUKAS | La Péri: Fanfarra"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos","Marcos Arakaki, regente","CHAVEZ | Toccata: Allegro un poco marziale"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos","Marcos Arakaki, regente","DVORÁK | Danças Eslavas, op. 46, nº 1"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos"," Rodrigo Camargos, narrador","MIRANDA | O universo da orquestra"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos"," Rodrigo Camargos, narrador","GOMES | Sonata para cordas em Ré, “O burrico de pau”"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos"," Rodrigo Camargos, narrador","DVORÁK | Serenata para instrumentos de sopro, op. 44: Moderato quase marcia"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos"," Rodrigo Camargos, narrador","DUKAS | La Péri: Fanfarra"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos"," Rodrigo Camargos, narrador","CHAVEZ | Toccata: Allegro un poco marziale"
"2013","outubro","27 e 28","Sesc Palladium","Concertos Didáticos"," Rodrigo Camargos, narrador","DVORÁK | Danças Eslavas, op. 46, nº 1"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Fabio Mechetti, regente","BEETHOVEN | Sinfonia nº 2 em Ré maior, op. 36"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Fabio Mechetti, regente","Sergei Eleazar de Carvalho, Alba Bomfim, Luciano Camargo e Vinícius Panegacci, regentes"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Fabio Mechetti, regente","WAGNER | Tannhäuser: Abertura"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Fabio Mechetti, regente","Fabio Mechetti, regente"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Sergei Eleazar de Carvalho, Alba Bomfim, Luciano Camargo e Vinícius Panegacci, regentes","BEETHOVEN | Sinfonia nº 2 em Ré maior, op. 36"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Sergei Eleazar de Carvalho, Alba Bomfim, Luciano Camargo e Vinícius Panegacci, regentes","Sergei Eleazar de Carvalho, Alba Bomfim, Luciano Camargo e Vinícius Panegacci, regentes"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Sergei Eleazar de Carvalho, Alba Bomfim, Luciano Camargo e Vinícius Panegacci, regentes","WAGNER | Tannhäuser: Abertura"
"2013","outubro","26","Sesc Palladium","Laboratório de Regência","Sergei Eleazar de Carvalho, Alba Bomfim, Luciano Camargo e Vinícius Panegacci, regentes","Fabio Mechetti, regente"
"2013","outubro","17 a 19","Sala São Paulo","Sala São Paulo","Fabio Mechetti, regente","WAGNER | Tannhäuser: Abertura"
"2013","outubro","17 a 19","Sala São Paulo","Sala São Paulo","Fabio Mechetti, regente","BRITTEN | Concerto para piano, op. 13"
"2013","outubro","17 a 19","Sala São Paulo","Sala São Paulo","Fabio Mechetti, regente","RACHMANINOV | Sinfonia nº 3 em lá menor, op. 44"
"2013","outubro","17 a 19","Sala São Paulo","Sala São Paulo"," Conrad Tao, piano","WAGNER | Tannhäuser: Abertura"
"2013","outubro","17 a 19","Sala São Paulo","Sala São Paulo"," Conrad Tao, piano","BRITTEN | Concerto para piano, op. 13"
"2013","outubro","17 a 19","Sala São Paulo","Sala São Paulo"," Conrad Tao, piano","RACHMANINOV | Sinfonia nº 3 em lá menor, op. 44"
"2013","outubro","10 e 11","Ipatinga e Belo Oriente","Turnê Estadual","Marcos Arakaki, regente","SANTORO | Frevo"
"2013","outubro","10 e 11","Ipatinga e Belo Oriente","Turnê Estadual","Marcos Arakaki, regente","DVORÁK | Danças Eslavas, op. 46, nº 1"
"2013","outubro","10 e 11","Ipatinga e Belo Oriente","Turnê Estadual","Marcos Arakaki, regente","TCHAIKOVSKY | O lago dos cisnes: Suíte, op. 20a"
"2013","outubro","10 e 11","Ipatinga e Belo Oriente","Turnê Estadual","Marcos Arakaki, regente","ROSSINI | Guilherme Tell: Abertura"
"2013","outubro","10 e 11","Ipatinga e Belo Oriente","Turnê Estadual","Marcos Arakaki, regente","STRAVINSKY | O pássaro de fogo: Suíte (1919)"
"2013","outubro","3","Palácio das Artes","Allegro","Fabio Mechetti, regente","WAGNER | Tannhäuser: Abertura"
