ano,mes,dia,local,serie,artista,repertorio
2012,dezembro,14,Sesc Palladium,Especial,"Fabio Mechetti, regente
",GUARNIERI | Encantamento
2012,dezembro,14,Sesc Palladium,Especial,"Fabio Mechetti, regente
","DVORÁK | Concerto para violino em lá menor, op. 53"
2012,dezembro,14,Sesc Palladium,Especial,"Fabio Mechetti, regente
",DEBUSSY | Jeux
2012,dezembro,14,Sesc Palladium,Especial,"Fabio Mechetti, regente
","TCHAIKOVSKY | Capriccio Italiano, op. 45"
2012,dezembro,14,Sesc Palladium,Especial,"Augustin Hadelich, violino",GUARNIERI | Encantamento
2012,dezembro,14,Sesc Palladium,Especial,"Augustin Hadelich, violino","DVORÁK | Concerto para violino em lá menor, op. 53"
2012,dezembro,14,Sesc Palladium,Especial,"Augustin Hadelich, violino",DEBUSSY | Jeux
2012,dezembro,14,Sesc Palladium,Especial,"Augustin Hadelich, violino","TCHAIKOVSKY | Capriccio Italiano, op. 45"
2012,dezembro,13,Palácio das Artes,Allegro,"Fabio Mechetti, regente
",GUARNIERI | Encantamento
2012,dezembro,13,Palácio das Artes,Allegro,"Fabio Mechetti, regente
","DVORÁK | Concerto para violino em lá menor, op. 53"
2012,dezembro,13,Palácio das Artes,Allegro,"Fabio Mechetti, regente
",DEBUSSY | Jeux
2012,dezembro,13,Palácio das Artes,Allegro,"Fabio Mechetti, regente
","TCHAIKOVSKY | Capricho Italiano, op. 45"
2012,dezembro,13,Palácio das Artes,Allegro,"Augustin Hadelich, violino",GUARNIERI | Encantamento
2012,dezembro,13,Palácio das Artes,Allegro,"Augustin Hadelich, violino","DVORÁK | Concerto para violino em lá menor, op. 53"
2012,dezembro,13,Palácio das Artes,Allegro,"Augustin Hadelich, violino",DEBUSSY | Jeux
2012,dezembro,13,Palácio das Artes,Allegro,"Augustin Hadelich, violino","TCHAIKOVSKY | Capricho Italiano, op. 45"
2012,dezembro,8,Sesc Palladium,Laboratório de Regência,"Fabio Mechetti, regente",VERDI | A força do destino: Abertura
2012,dezembro,8,Sesc Palladium,Laboratório de Regência,"Fabio Mechetti, regente","BRAHMS | Sinfonia nº 1 em dó menor, op. 68"
2012,dezembro,8,Sesc Palladium,Laboratório de Regência,"Thiago Santos, Tobias Volkmann, Henrique Villas Boas e João Carlos Rocha, regentes
",VERDI | A força do destino: Abertura
2012,dezembro,8,Sesc Palladium,Laboratório de Regência,"Thiago Santos, Tobias Volkmann, Henrique Villas Boas e João Carlos Rocha, regentes
","BRAHMS | Sinfonia nº 1 em dó menor, op. 68"
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Rafael Costa, percussão
",CAGE | Quarteto
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Rafael Costa, percussão
",KUISMA | Três galáxias
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Rafael Costa, percussão
",PECK | Lift-off!
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Rafael Costa, percussão
",CAGE | Música de sala de estar
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Rafael Costa, percussão
",MIKI | Marimba Spiritual
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Daniel Lemos, percussão
",CAGE | Quarteto
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Daniel Lemos, percussão
",KUISMA | Três galáxias
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Daniel Lemos, percussão
",PECK | Lift-off!
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Daniel Lemos, percussão
",CAGE | Música de sala de estar
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Daniel Lemos, percussão
",MIKI | Marimba Spiritual
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Sérgio Aluotto, percussão
",CAGE | Quarteto
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Sérgio Aluotto, percussão
",KUISMA | Três galáxias
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Sérgio Aluotto, percussão
",PECK | Lift-off!
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Sérgio Aluotto, percussão
",CAGE | Música de sala de estar
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Sérgio Aluotto, percussão
",MIKI | Marimba Spiritual
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Werner Silveira, percussão",CAGE | Quarteto
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Werner Silveira, percussão",KUISMA | Três galáxias
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Werner Silveira, percussão",PECK | Lift-off!
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Werner Silveira, percussão",CAGE | Música de sala de estar
2012,dezembro,6,Memorial Vale,Concertos de Câmara,"Werner Silveira, percussão",MIKI | Marimba Spiritual
2012,novembro,29,Palácio das Artes,Allegro,"Carlos Miguel Prieto, regente
",REVUELTAS | Redes
2012,novembro,29,Palácio das Artes,Allegro,"Carlos Miguel Prieto, regente
",PECK | The glory and the grandeur
2012,novembro,29,Palácio das Artes,Allegro,"Carlos Miguel Prieto, regente
","SHOSTAKOVICH | Sinfonia nº 6 em si menor, op. 54"
2012,novembro,29,Palácio das Artes,Allegro,"Carlos Miguel Prieto, regente
",MONCAYO | Huapango
2012,novembro,29,Palácio das Artes,Allegro,"Daniel Lemos, percussão
",REVUELTAS | Redes
2012,novembro,29,Palácio das Artes,Allegro,"Daniel Lemos, percussão
",PECK | The glory and the grandeur
2012,novembro,29,Palácio das Artes,Allegro,"Daniel Lemos, percussão
","SHOSTAKOVICH | Sinfonia nº 6 em si menor, op. 54"
2012,novembro,29,Palácio das Artes,Allegro,"Daniel Lemos, percussão
",MONCAYO | Huapango
2012,novembro,29,Palácio das Artes,Allegro,"Sérgio Alluoto, percussão
",REVUELTAS | Redes
2012,novembro,29,Palácio das Artes,Allegro,"Sérgio Alluoto, percussão
",PECK | The glory and the grandeur
2012,novembro,29,Palácio das Artes,Allegro,"Sérgio Alluoto, percussão
","SHOSTAKOVICH | Sinfonia nº 6 em si menor, op. 54"
2012,novembro,29,Palácio das Artes,Allegro,"Sérgio Alluoto, percussão
",MONCAYO | Huapango
2012,novembro,29,Palácio das Artes,Allegro,"Werner Silveira, percussão",REVUELTAS | Redes
2012,novembro,29,Palácio das Artes,Allegro,"Werner Silveira, percussão",PECK | The glory and the grandeur
2012,novembro,29,Palácio das Artes,Allegro,"Werner Silveira, percussão","SHOSTAKOVICH | Sinfonia nº 6 em si menor, op. 54"
2012,novembro,29,Palácio das Artes,Allegro,"Werner Silveira, percussão",MONCAYO | Huapango
2012,novembro,24,Theatro Municipal do Rio de Janeiro,Especial,"Fabio Mechetti, regente
","MIGUEZ | Prometeu, op. 21"
2012,novembro,24,Theatro Municipal do Rio de Janeiro,Especial,"Fabio Mechetti, regente
",VILLA-LOBOS | Suíte para piano
2012,novembro,24,Theatro Municipal do Rio de Janeiro,Especial,"Fabio Mechetti, regente
",VILLA-LOBOS | Bachianas Brasileiras nº 4: Prelúdio
2012,novembro,24,Theatro Municipal do Rio de Janeiro,Especial,"Fabio Mechetti, regente
",VILLA-LOBOS | Bachianas Brasileiras nº 8
