ano,mes,dia,local,serie,artista,repertorio
2010,dezembro,16,Palácio das Artes,Allegro,"Fabio Mechetti, regente","HAENDEL | Berenice: Abertura, HWV 38"
2010,dezembro,16,Palácio das Artes,Allegro,"Fabio Mechetti, regente","SCHUMANN | Sinfonia nº 4 em ré menor, op. 120"
2010,dezembro,16,Palácio das Artes,Allegro,"Fabio Mechetti, regente","MAHLER | Sinfonia nº 1 em Ré maior, “Titã”"
2010,dezembro,5,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Marcelo Lehninger, regente",GLINKA | Ruslan e Ludmila: Abertura
2010,dezembro,5,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Marcelo Lehninger, regente","TCHAIKOVSKY | O quebra-nozes: Suíte n° 1, op. 71a"
2010,dezembro,5,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Marcelo Lehninger, regente","TCHAIKOVSKY | Marcha Eslava, op. 31"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Eliseu Barros, violino","SCHUMANN | Quinteto em Mi bemol maior, op. 44"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Eliseu Barros, violino","BRAHMS | Quinteto em fá menor, op. 34"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Byron Hitchcock, violino","SCHUMANN | Quinteto em Mi bemol maior, op. 44"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Byron Hitchcock, violino","BRAHMS | Quinteto em fá menor, op. 34"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Nathan Medina, viola","SCHUMANN | Quinteto em Mi bemol maior, op. 44"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Nathan Medina, viola","BRAHMS | Quinteto em fá menor, op. 34"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Matthew Ryan-Kelzenberg, violoncelo","SCHUMANN | Quinteto em Mi bemol maior, op. 44"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Matthew Ryan-Kelzenberg, violoncelo","BRAHMS | Quinteto em fá menor, op. 34"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Ayumi Shigeta, piano","SCHUMANN | Quinteto em Mi bemol maior, op. 44"
2010,dezembro,4,Inhotim,Concertos de Câmara,"Ayumi Shigeta, piano","BRAHMS | Quinteto em fá menor, op. 34"
2010,dezembro,2,Palácio das Artes,Laboratório de Regência,"Daniel Nery, Ricardo Bologna, Simone Menezes e Tobias Volkmann, regentes",BEETHOVEN | Egmont: Abertura
2010,dezembro,2,Palácio das Artes,Laboratório de Regência,"Daniel Nery, Ricardo Bologna, Simone Menezes e Tobias Volkmann, regentes","BRAHMS | Sinfonia nº 3 em Fá maior, op. 90"
2010,dezembro,2,Palácio das Artes,Laboratório de Regência,"Fabio Mechetti, regente",BEETHOVEN | Egmont: Abertura
2010,dezembro,2,Palácio das Artes,Laboratório de Regência,"Fabio Mechetti, regente","BRAHMS | Sinfonia nº 3 em Fá maior, op. 90"
2010,novembro,23,Palácio das Artes,Vivace,"Fabio Mechetti, regente
","BERLIOZ | O Corsário: Abertura, op. 21"
2010,novembro,23,Palácio das Artes,Vivace,"Fabio Mechetti, regente
","BARBER | Concerto para violoncelo e orquestra, op. 22"
2010,novembro,23,Palácio das Artes,Vivace,"Fabio Mechetti, regente
","RACHMANINOV | Danças Sinfônicas, op. 45"
2010,novembro,23,Palácio das Artes,Vivace,"Alban Gerhardt, violoncelo","BERLIOZ | O Corsário: Abertura, op. 21"
2010,novembro,23,Palácio das Artes,Vivace,"Alban Gerhardt, violoncelo","BARBER | Concerto para violoncelo e orquestra, op. 22"
2010,novembro,23,Palácio das Artes,Vivace,"Alban Gerhardt, violoncelo","RACHMANINOV | Danças Sinfônicas, op. 45"
2010,novembro,18,Sala São Paulo,Sala São Paulo,"Fabio Mechetti, regente
","BERLIOZ | O Corsário: Abertura, op. 21"
2010,novembro,18,Sala São Paulo,Sala São Paulo,"Fabio Mechetti, regente
","BARBER | Concerto para violoncelo e orquestra, op. 22"
2010,novembro,18,Sala São Paulo,Sala São Paulo,"Fabio Mechetti, regente
","RACHMANINOV | Danças Sinfônicas, op. 45"
2010,novembro,18,Sala São Paulo,Sala São Paulo,"Alban Gerhardt, violoncelo","BERLIOZ | O Corsário: Abertura, op. 21"
2010,novembro,18,Sala São Paulo,Sala São Paulo,"Alban Gerhardt, violoncelo","BARBER | Concerto para violoncelo e orquestra, op. 22"
2010,novembro,18,Sala São Paulo,Sala São Paulo,"Alban Gerhardt, violoncelo","RACHMANINOV | Danças Sinfônicas, op. 45"
2010,novembro,11,Palácio das Artes,Allegro,"Fabio Mechetti, regente
","WEBER | Der Freischutz: Abertura, J. 277"
2010,novembro,11,Palácio das Artes,Allegro,"Fabio Mechetti, regente
",POULENC | Concerto para piano e orquestra
2010,novembro,11,Palácio das Artes,Allegro,"Fabio Mechetti, regente
",LISZT | Totentanz
2010,novembro,11,Palácio das Artes,Allegro,"Fabio Mechetti, regente
",HINDEMITH | Metamorfoses sinfônicas sobre temas de Carl Maria von Weber
2010,novembro,11,Palácio das Artes,Allegro,"José Feghali, piano","WEBER | Der Freischutz: Abertura, J. 277"
2010,novembro,11,Palácio das Artes,Allegro,"José Feghali, piano",POULENC | Concerto para piano e orquestra
2010,novembro,11,Palácio das Artes,Allegro,"José Feghali, piano",LISZT | Totentanz
2010,novembro,11,Palácio das Artes,Allegro,"José Feghali, piano",HINDEMITH | Metamorfoses sinfônicas sobre temas de Carl Maria von Weber
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Frank Haemmer, violino
",VILLA-LOBOS | Quarteto de cordas nº 1
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Frank Haemmer, violino
",GOMES | Sonata para quarteto de cordas em Ré maior
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Frank Haemmer, violino
","BRITTEN | Fantasia, op. 2"
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Jovana Trifunovic, violino
",VILLA-LOBOS | Quarteto de cordas nº 1
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Jovana Trifunovic, violino
",GOMES | Sonata para quarteto de cordas em Ré maior
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Jovana Trifunovic, violino
","BRITTEN | Fantasia, op. 2"
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Katarzyna Druzd, viola
",VILLA-LOBOS | Quarteto de cordas nº 1
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Katarzyna Druzd, viola
",GOMES | Sonata para quarteto de cordas em Ré maior
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Katarzyna Druzd, viola
","BRITTEN | Fantasia, op. 2"
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Lina Radovanovic, violoncelo",VILLA-LOBOS | Quarteto de cordas nº 1
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Lina Radovanovic, violoncelo",GOMES | Sonata para quarteto de cordas em Ré maior
2010,novembro,5,Fundação de Educação Artística,Concertos de Câmara,"Lina Radovanovic, violoncelo","BRITTEN | Fantasia, op. 2"
2010,outubro,31,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Marcos Arakaki, regente convidado
","SIBELIUS | Finlândia, op. 26"
2010,outubro,31,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Marcos Arakaki, regente convidado
","MENDELSSOHN | Concerto para piano nº 2 em ré menor, op. 40"
2010,outubro,31,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Marcos Arakaki, regente convidado
",BIZET |  Carmem: Suíte nº 1
2010,outubro,31,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Lucas Thomazinho, piano","SIBELIUS | Finlândia, op. 26"
2010,outubro,31,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Lucas Thomazinho, piano","MENDELSSOHN | Concerto para piano nº 2 em ré menor, op. 40"
2010,outubro,31,Teatro do Oi Futuro Klauss Vianna,Concertos para a Juventude,"Lucas Thomazinho, piano",BIZET |  Carmem: Suíte nº 1
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Luiz Fernando Malheiro, regente",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"André Heller-Lopes, diretor de cena",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Martin Muehle e Eric Herrero, tenores – Andrea Chénier",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Licio Bruno e Rodolfo Giugliani, barítonos – Gérard",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Edna D’Oliveira e Janette Dornellas, sopranos – Maddalena",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Rita Medeiros, mezzo-soprano – Bersi",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Luciana Monteiro, mezzo-soprano – Condessa de Coigny",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Igor Vieira, barítono – Fléville e Mathieu",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Flávio Leite, tenor – Abade e Incredible",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Cristiano Rocha e Murilo Neves, baixo-barítonos – Roucher",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Ruth Staerck, mezzo-soprano – Madelon",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Franklin Castilho, barítono – Fouquier-Tinville",GIORDANO | Andrea Chénier
2010,outubro,22 e 23 e 24 e 26 e 27,Palácio das Artes,Temporada de Ópera da Fundação Clóvis Salgado,"Sergio Cunha, barítono – Mordomo, Dumas e Carcereiro",GIORDANO | Andrea Chénier
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete",MOZART | As bodas de Fígaro: Abertura
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete","GABRIELI | Canzonas I, II e IV"
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete","ARNOLD | Quinteto de metais nº 1, op. 73"
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete","RIMSKY-KORSAKOV | Contos de Tzar Saltan, op. 57: O voo do besouro"
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete",DEBUSSY | Le petit nègre
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete",DVORÁK | Humoresque
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete",KREISLER | Liebslied
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Marlon Humphreys, trompete",GERSHWIN/Taillard | Um americano em Paris
2010,outubro,2 e 8,Inhotim e Belo Horizonte,Concertos de Câmara,"Érico Fonseca, trompete",MOZART | As bodas de Fígaro: Abertura
