ano,mes,dia,local,serie,artista,compositor,obra,periodo
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Saulo Javan, baixo
",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Saulo Javan, baixo
",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Saulo Javan, baixo
",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,Concentus Musicum de Belo Horizonte,MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,Concentus Musicum de Belo Horizonte,MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,Concentus Musicum de Belo Horizonte,MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,Concentus Musicum de Belo Horizonte,MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,Concentus Musicum de Belo Horizonte,MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,Concentus Musicum de Belo Horizonte,MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Iara Fricke Matte, regente do coral",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Iara Fricke Matte, regente do coral",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Iara Fricke Matte, regente do coral",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Iara Fricke Matte, regente do coral",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Iara Fricke Matte, regente do coral",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Iara Fricke Matte, regente do coral",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,1 e 2,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",PROKOFIEV," Romeu e Julieta, op. 64",MODERNO
2016,dezembro,1 e 2,Sala Minas Gerais,Presto/Veloce,"Fabio Mechetti, regente",PROKOFIEV," Romeu e Julieta, op. 64",MODERNO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",WEBERN," Passacaglia, op. 1",MODERNO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",WEBERN," Passacaglia, op. 1",MODERNO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",MENDELSSOHN," Concerto para piano nº 2 em ré menor, op. 40",ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",MENDELSSOHN," Concerto para piano nº 2 em ré menor, op. 40",ROMANTISMO
2016,novembro,24 e 25,Sala Minas Gerais,Allegro/Vivace,"Marcos Arakaki, regente",WAGNER, Tristão e Isolda: Prelúdio e morte por amor,ROMANTISMO
