"ano","mes","dia","local","serie","artista","repertorio"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Fabio Mechetti, regente
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Fabio Mechetti, regente
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Pablo Rossi, piano
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Pablo Rossi, piano
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Mariana Ortiz, soprano
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Mariana Ortiz, soprano
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Melina Peixoto, soprano
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Melina Peixoto, soprano
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Denise de Freitas, mezzo-soprano
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Denise de Freitas, mezzo-soprano
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Fernando Portari, tenor
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Fernando Portari, tenor
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Márcio Bocca, tenor
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Márcio Bocca, tenor
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Stephen Bronk, baixo-barítono
","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Stephen Bronk, baixo-barítono
","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Coral Lírico de Minas Gerais
Lincoln Andrade, regente do coral","BEETHOVEN | Fantasia Coral, op. 80"
"2015","dezembro","19 e 20","Sala Minas Gerais","Fora de Série","Coral Lírico de Minas Gerais
Lincoln Andrade, regente do coral","BEETHOVEN | Sinfonia nº 9 em ré menor, op. 125, “Coral”"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","MICHEL | Start!"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","SANTOS | Música para Metais"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","GABRIELI/Wicki | Canzon nº 1, “La Spiritata”"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","GABRIELI/Wicki | Canzon nº 2"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","GABRIELI/Wicki | Canzon nº 3"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","RIMSKY-KORSAKOV/Cable | O conto do Czar Saltan: O voo do besouro"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","DEBUSSY/Taillard | Le Petit Nègre"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","DVORÁK/Hazell | Humoresque, op. 101, nº 7"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","KREISLER/Korp & Hainzl | Liebesleid"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Marlon Humphreys, trompete
","BERNSTEIN/Gale | West Side Story: Suíte"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","MICHEL | Start!"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","SANTOS | Música para Metais"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","GABRIELI/Wicki | Canzon nº 1, “La Spiritata”"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","GABRIELI/Wicki | Canzon nº 2"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","GABRIELI/Wicki | Canzon nº 3"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","RIMSKY-KORSAKOV/Cable | O conto do Czar Saltan: O voo do besouro"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","DEBUSSY/Taillard | Le Petit Nègre"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","DVORÁK/Hazell | Humoresque, op. 101, nº 7"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","KREISLER/Korp & Hainzl | Liebesleid"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Érico Fonseca, trompete
","BERNSTEIN/Gale | West Side Story: Suíte"
"2015","dezembro","14","Aeroporto de Confins","Concertos de Câmara","Evgueni Gerassimov, trompa
","MICHEL | Start!"
